#项目编号	等级	上限	心情文字
#饥饿程度			
0	0	20	快饿死了
0	21	40	肚子很饿
0	41	60	肚子有点饿了
0	61	90	肚子八分饱
0	91	100	肚子很饱
#家族宠属性：1地 2水 3火 4风			
1	1	1	伸手能触到地面
1	1	2	脚下泥泞
1	1	3	焦土的味道
1	1	4	厚实而稳固的大地
1	2	1	微风里夹带着湿润
1	2	2	泉水涌动
1	2	3	露珠闪烁
1	2	4	狂风暴雨
1	3	1	温暖的感觉
1	3	2	炉中的火苗
1	3	3	火山喷发
1	3	4	太阳般滚烫
1	4	1	清风拂面
1	4	2	树摇枝晃
1	4	3	飞沙走石
1	4	4	龙卷风来袭
#性别喜好			
2	-127	-120	酷爱女生
2	-119	-43	偏爱女生
2	-42	0	女生比较好
2	1	42	男生比较好
2	43	120	偏爱男生
2	121	127	酷爱男生
#外观			
3	-127	-120	胖嘟嘟才可爱
3	-119	-43	还在长胖
3	-42	0	有些胖了
3	1	42	有些瘦了
3	43	120	模特身材
3	121	127	瘦骨嶙峋
#个性			
4	-127	-120	邪恶的
4	-119	-43	坏坏的
4	-42	0	正常
4	1	42	普通
4	43	120	善良
4	121	127	正义的
#头脑			
5	-127	-120	聪慧到秃顶
5	-119	-43	阅读和写作有关
5	-42	0	勤劳
5	1	42	很帅
5	43	120	度度窃
5	121	127	天才
#好感度			
6	-127	-120	不愉快
6	-119	-43	不想说话
6	-42	0	不喜欢不讨厌
6	1	42	不讨厌
6	43	120	好朋友
6	121	127	很喜欢
#睡眠状态		
7	0	20	睡的很熟
7	21	40	在做梦
7	41	60	醒着
7	61	80	乔帮窃
7	81	100	打瞌睡
#心情对话		
8	30	30	??汤??。
8	30	30	????？
8	30	30	背中?痒?
8	30	30	深爪??。
8	30	30	低血
