学徒布拳套	1006	3201	206	60	9611	10000				4	20			
皮革护拳	1007	3212	206	60	9611	9612	10401	10001		6	3	3	20	
铁钉拳套	1008	3222	206	60	9612	10001	9613	10402	10002	8	20	5	4	20
狼牙手套	1009	3230	206	60	9613	10002	9614	10403	10003	8	20	7	7	20
银月拳刃	1010	3245	206	60	9614	10003	10004	9615	10404	7	20	20	8	8
雷霆之握	1011	3251	206	60	9614	9615	10004	9616	10005	8	7	20	8	20
龙鳞护手	1012	3260	206	60	18443	10404	10005	10006	9617	1	10	20	20	10
凤凰羽拳	1013	3276	206	60	18450	10005	10006	9617	10007	2	20	20	20	20
星辰拳套	376	3288	206	60	10005	10006	10007	9618	10008	20	20	20	20	20
神龙之爪	1014	3294	206	60	10006	10007	10008	9619	10009	20	20	20	15	20
