重射手	1900	1901	1902	1903	1904	1905	1906	1907	10000	10000	10000	10000	100	50	10	600
龙血战士	1901	21	22	23	24	25	1916	1917	10000	10000	10000	10000	100	50	10	600
白翼神使	1902	61	62	63	64	65	1926	1927	10000	10000	10000	10000	100	50	10	600
幻之刃	1903	11	12	13	14	15	1936	1937	10000	10000	10000	10000	100	50	10	600
极魔	1904	71	72	73	74	75	1946	1947	10000	10000	10000	10000	100	50	10	600
圣魔骑士	1905	31	32	33	34	35	1956	1957	10000	10000	10000	10000	100	50	10	600
全职人	1500	1501	1501	1501	1501	1501	1501	1501	10000	10000	10000	10000	100	50	10	
圣骑士	170	171	172	173	174	175	176	177	10000	10000	10000	10000	100	50	10	600
封灵师	1550	1551	1552	1553	1554	1555	1556	1557	10000	10000	10000	10000	100	50	10	600
星之巫王	1980	1981	1982	1983	1984	1985	1986	1987	10000	10000	10000	10000	100	50	10	600
神圣誓约之剑	3010	3011	3012	3013	3014	3015	3016	3017	10000	10000	10000	10000	100	50	10	600
黑暗骑士	190	191	192	193	194	195	196	197	10000	10000	10000	10000	100	50	10	600
