####洗礼一路见不平####
巢穴粘稠怪	80149	20	5	7	38	23	10	6	18	100	2	30	0	0	0	0	10	90	0	0	0	0	0	0	1	3	0	0	9	101503	100	0			0	7300	7400	7930							
巢穴飞虫	80150	20	5	4	16	39	32	7	12	200	4	20	0	0	20	0	0	80	0	0	0	0	0	0	1	1	0	0	7	107303	100	0			0	7300	7400	330							
巢穴行尸	80151	20	5	2	33	32	5	13	12	100	2	30	0	0	0	60	40	0	0	0	0	0	0	0	1	3	0	0	9	101101	100	0			0	7300	7400								
巢穴卫兵	80152	20	5	2	11	22	39	8	20	150	3	20	0	0	0	0	70	30	0	0	0	0	0	0	1	2	0	0	8	101111	100	0			0	7300	7400	630							
巢穴捕捉者	80153	20	5	4	22	14	15	18	26	100	2	30	0	0	0	100	0	0	0	0	0	0	0	0	1	3	0	0	9	101331	100	0			0	7300	7400	2030							
巢穴石像怪	80154	20	5	3	14	30	32	22	22	250	5	0	5	0	90	0	0	10	100	100	100	100	100	100	1	0	5	5	6	101210	100	0			0	7300	7400	7730	1830						
巢穴武装守卫	80155	200	5	9	150	65	10	25	20	300	6	50	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	6	101113	100	0			0	7300	7400								
巢穴卫兵	80156	200	5	2	32	60	10	25	20	150	3	20	0	0	0	0	70	30	0	0	0	0	0	0	1	2	0	0	8	101111	100	0			0	7300	7400	630							
巢穴捕捉者	80157	200	5	4	50	20	10	25	100	100	2	30	0	0	0	100	0	0	0	0	0	0	0	0	1	3	0	0	9	101331	100	0			0	7300	7400	2030							
麦卡恩	80158	200	5	9	250	40	0	25	180	300	6	50	20	30	30	30	30	30	100	0	0	0	0	0	0	0	0	0	6	107103	100	0			0	7300	7400								
巢穴武装守卫	80159	30	5	2	100	100	10	30	10	300	6	50	0	0	30	30	30	30	0	0	0	0	0	0	0	0	0	0	6	101113	100	0			0	7300	7400								
巢穴卫兵	80160	100	5	2	140	80	10	30	10	150	3	20	0	0	0	0	70	30	0	0	0	0	0	0	1	2	0	0	8	101111	100	0			0	7300	7400	630							
#####洗礼二传承使者#####
巨狼	80161	20	5	6	20	35	9	23	18	200	4	10	0	0	60	40	0	0	0	0	0	0	0	0	0	1	0	0	7	101031	100	0			0	7300	7400	630							
恶魔	80162	20	5	3	8	25	24	24	29	250	5	0	0	0	0	0	10	90	0	0	0	0	0	0	0	0	0	0	6	101213	100	0			0	7300	7400	7530	2230						
水晶螃蟹	80163	20	5	8	16	29	34	8	8	100	2	30	0	0	0	80	20	0	0	0	0	0	0	0	0	3	0	0	9	101631	100	0			0	7300	7400	7830							
液态史莱姆	80164	20	5	7	47	22	13	3	10	100	2	30	0	0	10	90	0	0	0	0	0	0	0	0	0	3	0	0	9	101501	100	0			0	7300	1230								
水龙蜥	80165	20	5	1	34	36	32	9	4	200	4	10	0	0	0	80	20	0	0	0	0	0	0	0	0	1	0	0	7	101721	100	0			0	7300	7400	7730							
冰冷树精	80166	20	5	5	28	13	25	14	20	150	3	20	0	0	0	70	30	0	0	0	0	0	0	0	0	2	0	0	8	101404	100	0			0	7300	7400	2030							
火龙蜥	80167	20	5	1	30	35	35	10	5	200	4	10	0	0	0	0	80	20	0	0	0	0	0	0	1	1	0	0	7	101722	100	0			0	7300	7400								
木乃伊	80168	20	5	2	37	30	12	6	15	150	3	20	0	0	0	0	50	50	0	0	0	0	0	0	1	3	0	0	8	101104	100	0			0	7300	7400	8030							
万年河童	80169	200	5	9	220	10	0	10	160	500	10	100	0	0	50	50	50	50	0	0	0	0	0	0	2	3	0	0	10	101513	100	0			0	7300	7400								
腐尸	80170	20	5	2	40	35	10	5	5	100	2	30	0	0	60	40	0	0	0	0	0	0	0	0	0	3	0	0	9	101103	100	0			0	7300	7400	7830							
铁剪螃蟹	80171	20	5	8	12	32	35	10	6	100	2	30	0	0	80	0	0	20	0	0	0	0	0	0	1	3	0	0	9	101632	100	0			0	7300	7400	330							
沼泽树精	80172	20	5	5	29	12	27	13	19	150	3	20	0	0	70	30	0	0	0	0	0	0	0	0	1	2	0	0	8	101405	100	0			0	7300	7400	7530							
地龙蜥	80173	20	5	1	27	32	32	13	6	200	4	10	0	0	80	20	0	0	0	0	0	0	0	0	0	1	0	0	7	101720	100	0			0	7300	7400	330							
巨狼	80174	20	5	6	20	35	9	23	18	200	4	10	0	0	60	40	0	0	0	0	0	0	0	0	0	1	0	0	7	101031	100	0			0	7300	7400	630							
恶魔	80175	20	5	3	8	25	24	24	29	250	5	0	0	0	0	0	10	90	0	0	0	0	0	0	0	0	0	0	6	101213	100	0			0	7300	7400	7530	2230						
#####洗礼三阿蒙的幻影#####
石怪	80176	20	5	8	13	36	41	4	11	200	4	10	0	0	100	0	0	0	0	0	0	0	0	0	0	1	0	0	7	101621	100	0			0	7300	7400								
岩怪	80177	20	5	8	27	20	38	3	12	150	3	30	0	0	70	30	0	0	0	0	0	0	0	0	1	3	0	0	8	107610	100	0			0	7300	7400	1130							
地之精灵	80178	200	5	9	220	40	0	10	220	500	10	100	0	0	50	50	50	50	0	0	0	0	0	0	2	3	0	0	10	101810	100	0			0	7300	7400								
石怪	80179	20	5	8	13	36	41	4	11	200	4	10	0	0	100	0	0	0	0	0	0	0	0	0	0	1	0	0	7	101621	100	0			0	7300	7400								
岩怪	80180	20	5	8	27	20	38	3	12	150	3	30	0	0	70	30	0	0	0	0	0	0	0	0	1	3	0	0	8	107610	100	0			0	7300	7400	1130							
液态史莱姆	80181	20	5	7	47	22	13	3	10	100	2	30	0	0	10	90	0	0	0	0	0	0	0	0	0	3	0	0	9	101501	100	0			0	7300	1230								
人魔草	80182	20	5	5	20	15	9	12	39	100	2	30	0	0	0	80	20	0	0	0	0	0	0	0	1	3	0	0	9	101413	100	0			0	7300	7400	2430							
水之精灵	80183	200	5	9	220	40	0	10	220	500	10	100	0	0	50	50	50	50	0	0	0	0	0	0	2	3	0	0	10	101811	100	0			0	7300	7400								
液态史莱姆	80184	20	5	7	47	22	13	3	10	100	2	30	0	0	10	90	0	0	0	0	0	0	0	0	0	3	0	0	9	101501	100	0			0	7300	1230								
人魔草	80185	20	5	5	20	15	9	12	39	100	2	30	0	0	0	80	20	0	0	0	0	0	0	0	1	3	0	0	9	101413	100	0			0	7300	7400	2430							
地狱猎犬	80186	20	5	6	22	33	17	20	13	200	4	10	0	0	0	0	60	40	0	0	0	0	0	0	1	1	0	0	7	101032	100	0			0	7300	7400								
狠毒鸟人	80187	20	5	0	16	17	12	37	18	150	3	20	0	0	0	10	90	0	0	0	0	0	0	0	0	2	0	0	8	101832	100	0			0	7300	7400	930							
火之精灵	80188	200	5	9	220	40	0	10	220	500	10	100	0	0	50	50	50	50	0	0	0	0	0	0	2	3	0	0	10	101813	100	0			0	7300	7400								
地狱猎犬	80189	20	5	6	22	33	17	20	13	200	4	10	0	0	0	0	60	40	0	0	0	0	0	0	1	1	0	0	7	101032	100	0			0	7300	7400								
狠毒鸟人	80190	20	5	0	16	17	12	37	18	150	3	20	0	0	0	10	90	0	0	0	0	0	0	0	0	2	0	0	8	101832	100	0			0	7300	7400	930							
宝石鼠	80191	20	5	6	5	5	20	25	35	50	1	40	0	0	0	0	0	100	0	0	0	0	0	0	1	4	0	0	10	101023	100	0			0	7300	2230	2630							
冥界死神	80192	20	5	2	25	40	12	21	27	300	6	0	0	0	0	0	0	100	0	0	0	0	0	0	0	4	0	0	6	107103	100	0	170		0	7300	7400								
风之精灵	80193	200	5	9	220	40	0	10	220	500	10	100	0	0	50	50	50	50	0	0	0	0	0	0	2	3	0	0	10	101812	100	0			0	7300	7400								
宝石鼠	80194	20	5	6	5	5	20	25	35	50	1	40	0	0	0	0	0	100	0	0	0	0	0	0	1	4	0	0	10	101023	100	0			0	7300	2230	2630							
冥界死神	80195	20	5	2	25	40	12	21	27	300	6	0	0	0	0	0	0	100	0	0	0	0	0	0	0	4	0	0	6	107103	100	0	170		0	7300	7400								
#####洗礼四龙之试炼#####
